"Name","area_under_the_curve_min_overall (Max)","model_size","area_under_the_curve_avg_overall (Max)","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","learning_rate","margin_size","stride","variable_margin","weight_decay","method","metric.goal","metric.name","area_under_the_curve_one_overall (Max)","epoch","Total N of tiles_overall","downlink_amount_avg_overall","downlink_amount_min_overall","downlink_amount_one_overall","percentage_of_changed_overall","parameters.weight_decay","parameters.variable_margin","parameters.stride","parameters.model_size","parameters.margin_size","parameters.learning_rate","parameters.epochs","parameters.batch_size","trainer/global_step"
"jolly-sweep-3","0.833970844745636","large","0.8461048007011414","finished","-","","","2024-05-09T03:36:54.000Z","45250","5z61mbdo","64","45","5e-7","[0,1]","16","true","0.0000025","","","","0.8421359062194824","44","","","","","","","","","","","","","","175544"
"absurd-sweep-3","0.843366801738739","large","0.8478876352310181","finished","-","","","2024-05-10T01:19:29.000Z","27320","n3wj7gjb","64","55","5e-7","[0.5,1]","16","false","0.0000025","","","","0.8507564663887024","54","","","","","","","","","","","","","","52854"
"mild-sweep-1","0.8450151681900024","large","0.8587002754211426","finished","-","","","2024-05-08T10:08:37.000Z","22058","3wawoaaz","32","40","0.000001","[0,1]","32","true","0.000005","","","","0.8517292737960815","39","","","","","","","","","","","","","","79399"
"different-sweep-3","0.8406750559806824","large","0.8451571464538574","finished","-","","","2024-05-10T22:13:42.000Z","21989","fbhf6o5m","64","60","0.000003","[0.5,1]","32","false","0.000015","","","","0.8477773666381836","59","","","","","","","","","","","","","","14699"
"cool-sweep-2","0.8444332480430603","medium","0.8535999655723572","finished","-","","","2024-05-08T21:33:52.000Z","21779","5z61mbdo","64","45","5e-7","[0,1]","16","true","0.0000025","","","","0.846413791179657","44","","","","","","","","","","","","","","175544"
"feasible-sweep-3","0.8381105065345764","large","0.8401158452033997","finished","-","","","2024-05-08T04:10:19.000Z","20551","j9o3vkpz","32","55","0.000003","[0.5,1]","32","false","0.000015","","","","0.8438003063201904","54","","","","","","","","","","","","","","26894"
"gallant-sweep-1","0.8568105101585388","small","0.8700935244560242","finished","-","","","2024-05-08T16:27:14.000Z","18394","5z61mbdo","64","45","5e-7","[0,1]","16","true","0.0000025","","","","0.8677472472190857","44","","","","","","","","","","","","","","175544"
"efficient-sweep-2","0.8505632877349854","medium","0.858662486076355","finished","-","","","2024-05-09T20:46:38.000Z","16366","n3wj7gjb","64","55","5e-7","[0.5,1]","16","false","0.0000025","","","","0.8580614924430847","54","","","","","","","","","","","","","","52854"
"curious-sweep-1","0.836858332157135","large","0.8388606905937195","finished","-","","","2024-05-07T15:14:38.000Z","15285","3ud2xdie","32","40","0.000003","[0.5,1]","32","false","0.00002","","","","0.8426976203918457","39","","","","","","","","","","","","","","19559"
"blooming-sweep-1","0.8638251423835754","small","0.8772696852684021","finished","-","","","2024-05-09T16:42:02.000Z","14669","n3wj7gjb","64","55","5e-7","[0.5,1]","16","false","0.0000025","","","","0.8730716705322266","54","","","","","","","","","","","","","","52854"
"likely-sweep-2","0.8558828234672546","medium","0.8641417026519775","finished","-","","","2024-05-10T18:10:06.000Z","14612","fbhf6o5m","64","60","0.000003","[0.5,1]","32","false","0.000015","","","","0.8642022609710693","59","","","","","","","","","","","","","","14699"
"happy-sweep-1","0.8697161674499512","small","0.88272625207901","finished","-","","","2024-05-10T14:17:13.000Z","13970","fbhf6o5m","64","60","0.000003","[0.5,1]","32","false","0.000015","","","","0.878356397151947","59","","","","","","","","","","","","","","14699"
"silver-sweep-2","0.8578804135322571","medium","0.8668668270111084","finished","-","","","2024-05-08T00:24:02.000Z","13575","j9o3vkpz","32","55","0.000003","[0.5,1]","32","false","0.000015","","","","0.8655647039413452","54","","","","","","","","","","","","","","26894"
"lunar-sweep-1","0.8540124893188477","medium","0.8642000555992126","finished","-","","","2024-05-10T09:10:54.000Z","13455","afgvlzyn","32","55","0.000003","[0.6,1]","32","false","0.000015","","","","0.8624885082244873","54","","","","","","","","","","","","","","24584"
"sweet-sweep-1","0.8546408414840698","medium","0.8660600781440735","finished","-","","","2024-05-07T08:19:33.000Z","13174","oo10sxd6","32","40","0.000002","[0,1]","32","true","0.00001","","","","0.8585216403007507","39","","","","","","","","","","","","","","79399"
"hardy-sweep-1","0.8728876709938049","small","0.8862941861152649","finished","-","","","2024-05-07T20:48:58.000Z","12898","j9o3vkpz","32","55","0.000003","[0.5,1]","32","false","0.000015","","","","0.8808714747428894","54","","","","","","","","","","","","","","26894"
"still-sweep-1","0.8478359580039978","small","0.862610936164856","finished","-","","","2024-05-07T12:01:08.000Z","11567","k1m6dxac","32","40","0.000001","[0,1]","32","true","0.00001","","","","0.8591703772544861","39","","","","","","","","","","","","","","79399"
"dry-sweep-1","0.8556653261184692","medium","0.8644106388092041","finished","-","","","2024-05-06T23:40:49.000Z","9913","xte9mnhm","32","40","0.000003","[0.5,1]","32","false","0.000015","","","","0.8633803129196167","39","","","","","","","","","","","","","","19559"
"azure-sweep-1","0.8428788185119629","medium","0.8484542965888977","finished","-","","","2024-05-07T13:49:54.000Z","8492","fstrq0a4","32","30","0.000001","[0.4,1]","32","false","0.000005","","","","0.8489511609077454","29","","","","","","","","","","","","","","15749"
